Disease,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,"An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose, prolonged administration of a drug, or as a result of combining two or more drugs. These reactions can be mild, moderate, severe, or life-threatening. ADRs often mimic underlying diseases, making diagnosis challenging. Symptoms may include rash, urticaria (hives), itching, erythema (redness), angioedema (swelling under the skin), Stevens-Johnson syndrome, toxic epidermal necrolysis, nausea, vomiting, diarrhea, abdominal pain, bloating, constipation, wheezing, shortness of breath, bronchospasm, coughing, anaphylaxis, dizziness, headaches, confusion, hallucinations, seizures, hepatotoxicity (liver damage), nephrotoxicity (kidney damage), arrhythmia (irregular heartbeat), hypotension (low blood pressure), hypertension (high blood pressure), myalgia (muscle pain), and arthralgia (joint pain). Certain medications, such as antibiotics, NSAIDs, anticonvulsants, and chemotherapy drugs, have a higher risk of causing ADRs. In severe cases, ADRs may lead to organ failure, anaphylactic shock, or death.",stop irritation,consult nearest hospital,stop taking drug,follow up
Malaria,"Malaria is an infectious disease caused by Plasmodium parasites and transmitted through the bite of infected Anopheles mosquitoes. The most severe form, Plasmodium falciparum malaria, can lead to organ failure and death if untreated. Symptoms usually appear 10–15 days after infection and include high fever, chills, excessive sweating, headache, nausea, vomiting, muscle pain, fatigue, dizziness, abdominal pain, diarrhea, rapid breathing, cough, confusion, seizures, and jaundice (yellowing of skin and eyes). Severe cases can cause cerebral malaria, hypoglycemia (low blood sugar), metabolic acidosis (excess acid in the blood), acute respiratory distress syndrome (ARDS), kidney failure, and anemia. Malaria is more common in tropical and subtropical regions. Early detection and treatment with antimalarial drugs such as chloroquine, artemisinin-based combination therapies (ACTs), and quinine are crucial for survival. Preventive measures include mosquito nets, insect repellents, and prophylactic medications.",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Allergy,"An allergy is an exaggerated immune system response to a harmless foreign substance (allergen) such as pollen, dust mites, pet dander, mold, insect venom, certain foods (nuts, dairy, shellfish, eggs), or medications (penicillin, NSAIDs, sulfa drugs). When exposed to an allergen, the immune system releases histamines and other chemicals, triggering an allergic reaction. Symptoms vary depending on the allergen and may include sneezing, runny nose, nasal congestion, itchy or watery eyes, coughing, wheezing, shortness of breath, hives, swelling (angioedema), skin rash, nausea, vomiting, diarrhea, abdominal cramps, dizziness, and anaphylaxis (a life-threatening reaction causing difficulty breathing and a drop in blood pressure). Common allergy types include seasonal allergies (hay fever), food allergies, drug allergies, insect sting allergies, and contact dermatitis. Allergy management includes avoiding allergens, taking antihistamines, decongestants, corticosteroids, and epinephrine (for severe reactions). Immunotherapy (allergy shots) can help reduce sensitivity to allergens over time.",apply calamine,cover area with bandage,,use ice to compress itching
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder in which the thyroid gland does not produce enough thyroid hormones, leading to a slowed metabolism and various symptoms. People with hypothyroidism may experience fatigue, weight gain, cold intolerance, dry skin, hair thinning, brittle nails, constipation, depression, slow heart rate, muscle weakness, joint pain, puffiness in the face, hoarseness, memory issues, difficulty concentrating, swelling in the neck due to an enlarged thyroid (goiter), menstrual irregularities, and feeling sluggish or mentally foggy. Severe cases can lead to myxedema, which can cause extreme fatigue, swelling, low body temperature, and even coma if left untreated. The condition is commonly caused by Hashimoto’s thyroiditis, iodine deficiency, or certain medications.",reduce stress,exercise,eat healthy,get proper sleep
Psoriasis,"Psoriasis is a chronic skin disorder that causes the rapid buildup of skin cells, leading to red, inflamed patches covered with silvery-white scales. These patches can appear anywhere on the body but are most common on the scalp, elbows, knees, and lower back. Symptoms include dry, cracked skin that may bleed, itching, burning, soreness, thickened or ridged nails, and joint pain in some cases. Psoriasis can flare up due to stress, infections, cold weather, or injury to the skin. Some people also experience psoriatic arthritis, which causes joint pain and stiffness. The condition is not contagious but tends to run in families. Treatment focuses on managing symptoms with moisturizers, medicated creams, light therapy, and immune-modulating drugs.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
GERD,"Gastroesophageal reflux disease, or GERD, occurs when stomach acid frequently flows back into the esophagus, irritating its lining. This happens when the lower esophageal sphincter (LES) weakens or relaxes inappropriately. Symptoms include heartburn, a burning sensation in the chest, acid regurgitation, sour or bitter taste in the mouth, difficulty swallowing, chest pain, chronic cough, sore throat, hoarseness, bad breath, bloating, nausea, and the feeling of a lump in the throat. Symptoms often worsen after eating, when lying down, or at night. Long-term GERD can lead to complications like esophageal ulcers, strictures, and Barrett’s esophagus, which increases the risk of esophageal cancer. Common triggers include spicy foods, fatty meals, caffeine, alcohol, smoking, and obesity. Treatment involves lifestyle changes, dietary adjustments, medications like antacids, proton pump inhibitors, and H2 blockers, and in severe cases, surgery.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,"Chronic cholestasis refers to a long-term impairment in the flow of bile from the liver to the intestine, leading to a buildup of bile acids in the liver. This condition can occur at any age and is typically associated with primary damage to the bile ducts or biliary epithelium. The accumulation of bile acids in the liver can lead to liver damage, inflammation, and progressive scarring. Symptoms of chronic cholestasis include persistent jaundice (yellowing of the skin and eyes), dark urine, pale or clay-colored stools, intense itching (pruritus), fatigue, loss of appetite, weight loss, nausea, vomiting, bloating, and abdominal pain, especially in the upper right quadrant. The condition may also lead to deficiencies in fat-soluble vitamins (A, D, E, and K), causing issues like night blindness, bone pain, muscle weakness, and easy bruising or bleeding. In advanced cases, it can lead to liver fibrosis, cirrhosis, and liver failure. Causes of chronic cholestasis include primary biliary cholangitis (PBC), primary sclerosing cholangitis (PSC), genetic disorders like Alagille syndrome, autoimmune diseases, viral infections, drug-induced liver injury, and bile duct obstructions caused by gallstones or tumors. Treatment focuses on relieving symptoms, improving bile flow, and managing complications with medications such as ursodeoxycholic acid, bile acid sequestrants, antihistamines for itching, vitamin supplementation, and in severe cases, liver transplantation.",cold baths,anti itch medicine,consult doctor,eat healthy
hepatitis A,"Hepatitis A is a highly contagious viral infection that causes inflammation of the liver, affecting its ability to process toxins and produce essential proteins. The hepatitis A virus (HAV) spreads primarily through the ingestion of contaminated food or water, or through close contact with an infected person. It is most commonly transmitted through poor sanitation and hygiene practices. Symptoms typically appear within two to six weeks of exposure and may include fever, fatigue, nausea, vomiting, loss of appetite, abdominal pain (especially in the upper right side), diarrhea, joint pain, dark-colored urine, pale or clay-colored stools, and jaundice (yellowing of the skin and eyes). The infection can also cause intense itching, muscle aches, and general malaise. While hepatitis A does not cause chronic liver disease like hepatitis B or C, it can lead to severe complications such as acute liver failure in rare cases, especially in older adults or those with pre-existing liver conditions. Most people recover fully within a few weeks to months, but the illness can cause prolonged symptoms in some cases. Prevention includes good hygiene, proper food handling, and vaccination, which is highly effective in preventing the disease. There is no specific antiviral treatment for hepatitis A, and management focuses on rest, hydration, and supportive care to relieve symptoms.",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
Osteoarthristis,"Osteoarthritis (OA) is a degenerative joint disease that occurs when the protective cartilage that cushions the ends of bones gradually breaks down, leading to pain, stiffness, swelling, and reduced joint mobility. It is the most common form of arthritis and primarily affects weight-bearing joints such as the knees, hips, spine, and hands. The condition develops slowly over time due to aging, repetitive joint stress, previous joint injuries, genetic predisposition, obesity, and joint misalignment. Symptoms of osteoarthritis include persistent joint pain that worsens with movement, morning stiffness lasting less than 30 minutes, joint swelling, tenderness, a grating sensation or cracking sound (crepitus) when moving the affected joint, reduced range of motion, and the formation of bone spurs (osteophytes), which can contribute to further discomfort. In advanced cases, joint deformity and significant loss of function may occur, impacting daily activities such as walking, climbing stairs, gripping objects, or bending. Osteoarthritis is commonly associated with inflammation of the joint lining (synovitis), which can further exacerbate pain and stiffness. Treatment focuses on pain relief, maintaining joint function, and slowing disease progression. Common management strategies include weight loss, physical therapy, low-impact exercises, pain medications like NSAIDs and acetaminophen, corticosteroid injections, hyaluronic acid injections, joint bracing, and assistive devices. In severe cases, surgical options such as joint replacement (arthroplasty) may be considered to restore mobility and relieve pain.",acetaminophen,consult nearest hospital,follow up,salt baths
(vertigo) Paroymsal  Positional Vertigo,"Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo, which is the sudden sensation of spinning or dizziness. BPPV occurs when tiny calcium carbonate crystals (otoconia) in the inner ear become dislodged and move into the semicircular canals, disrupting the balance signals sent to the brain. Symptoms include sudden episodes of dizziness, loss of balance, nausea, vomiting, lightheadedness, unsteadiness, blurry vision, and a sensation that the surroundings are moving or spinning (vertigo). These symptoms are often triggered by specific head movements, such as turning over in bed, looking up, bending down, or sudden head position changes. Episodes usually last for a few seconds to a few minutes but may recur frequently. BPPV is more common in older adults and can be triggered by head trauma, inner ear infections, prolonged bed rest, or aging-related degeneration of the inner ear structures. Although BPPV is not life-threatening, it can significantly impact daily activities and increase the risk of falls. Diagnosis is typically made through the Dix-Hallpike maneuver, and treatment often involves canalith repositioning procedures such as the Epley maneuver to move the displaced crystals back to their proper position. In some cases, medications like antihistamines or vestibular suppressants may be prescribed to relieve symptoms.",lie down,avoid sudden change in body,avoid abrupt head movment,relax
